CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Revisiones,Edad_Cliente,Comunidad
CLIX1429,3,5,1,2.0,1,2,0,1,1,1,0,1,3.0,0,0.0,0,4182,0,1,53,4
CLIX1430,3,5,1,2.0,1,2,0,1,1,0,0,1,3.0,0,0.0,0,4909,0,1,31,14
CLIX1431,3,5,0,2.0,0,2,0,1,1,1,0,0,3.0,1,2.0,0,7935,35555,3,39,18
CLIX1432,3,5,0,2.0,0,2,0,1,1,1,0,1,3.0,0,2.0,0,4751,0,1,65,2
CLIX1433,3,5,0,1.0,1,0,0,1,1,0,0,0,3.0,0,0.0,0,4083,0,2,48,14
CLIX1434,3,5,0,1.0,1,2,0,1,1,0,0,1,1.0,0,0.0,0,7126,0,0,36,18
CLIX1435,3,5,0,1.0,1,2,0,1,1,1,0,1,3.0,0,0.0,0,4751,0,1,26,18
CLIX1436,3,7,1,1.0,1,0,3,1,2,1,1,0,1.0,1,2.0,0,7582,12583,2,59,7
CLIX1437,3,7,1,1.0,1,0,0,1,1,1,0,0,3.0,1,0.0,0,2662,14567,2,66,7
CLIX1438,3,7,1,1.0,1,2,1,0,1,1,0,0,2.0,1,3.0,1,5338,34070,2,56,17
CLIX1439,3,7,1,1.0,1,2,0,1,1,1,0,0,1.0,1,1.0,1,3794,24838,2,58,5
CLIX1440,3,7,1,1.0,1,2,0,1,1,1,0,1,2.0,1,1.0,0,3605,15559,2,51,11
CLIX1441,3,7,1,1.0,1,2,0,1,1,1,0,0,3.0,0,0.0,0,6600,0,1,66,13
CLIX1442,3,7,1,1.0,1,2,0,0,1,0,0,1,3.0,0,0.0,0,6429,0,1,25,11
CLIX1443,3,7,1,1.0,1,0,0,0,1,1,0,0,3.0,1,3.0,1,5374,14897,2,48,7
CLIX1444,3,7,1,1.0,1,2,0,1,1,1,0,0,3.0,0,3.0,1,5080,0,2,31,10
CLIX1445,3,7,1,1.0,1,3,0,0,1,0,0,0,1.0,1,3.0,1,3030,22068,2,40,6
CLIX1446,3,7,1,1.0,1,3,0,1,1,1,0,0,2.0,1,1.0,0,3030,23202,1,53,14
CLIX1447,3,7,1,1.0,1,3,0,1,1,1,0,0,3.0,0,2.0,0,4822,0,2,45,18
CLIX1448,3,7,1,1.0,1,2,0,1,0,1,0,0,1.0,1,2.0,0,9000,49710,1,37,10
CLIX1449,3,7,1,1.0,1,2,0,1,1,1,0,1,3.0,0,1.0,0,8192,0,0,32,14
CLIX1450,3,7,1,1.0,1,2,0,1,1,1,0,1,3.0,0,0.0,0,8192,0,0,29,1
CLIX1451,3,7,1,1.0,1,2,0,1,1,0,0,1,3.0,0,0.0,0,4909,0,1,49,14
CLIX1452,3,7,1,1.0,0,2,0,1,1,1,0,0,3.0,1,0.0,0,3503,22385,2,60,14
CLIX1453,3,7,1,1.0,0,2,3,1,1,1,0,0,3.0,1,2.0,0,3459,12820,2,43,18
CLIX1454,3,7,1,2.0,0,2,0,1,1,1,0,0,3.0,1,0.0,0,8211,22294,1,37,7
CLIX1455,3,7,0,2.0,0,3,0,1,1,0,0,1,3.0,0,0.0,0,3842,0,0,25,1
CLIX1456,3,7,0,1.0,1,2,0,1,1,1,0,0,3.0,1,3.0,1,5290,11395,1,56,9
CLIX1457,3,7,1,2.0,0,2,0,1,1,0,0,1,3.0,0,3.0,1,4751,0,1,52,11
CLIX1458,3,7,1,2.0,0,2,0,1,1,1,0,1,3.0,0,0.0,1,4024,0,1,49,9
CLIX1459,8,6,0,2.0,1,0,0,1,1,0,1,0,3.0,1,3.0,1,828,18348,3,39,18
CLIX1460,8,6,0,2.0,1,3,0,1,1,0,1,0,3.0,1,3.0,1,2476,9538,2,52,9
CLIX1461,8,6,0,2.0,1,0,0,1,1,0,1,0,3.0,1,1.0,0,1829,18791,4,55,7
CLIX1462,8,6,0,2.0,1,2,0,1,1,1,0,0,3.0,1,2.0,0,2915,2892,3,61,18
CLIX1463,8,6,0,2.0,1,3,0,1,1,0,0,0,2.0,1,0.0,0,1829,15559,3,62,0
CLIX1464,8,6,0,2.0,1,0,0,1,1,1,0,0,2.0,1,0.0,0,3571,10948,2,59,14
CLIX1465,8,6,0,2.0,1,3,0,1,1,0,1,0,2.0,1,0.0,0,1829,9198,3,45,14
CLIX1466,8,6,0,2.0,1,3,0,1,1,0,1,0,1.0,1,2.0,0,2749,10918,2,37,9
CLIX1467,8,6,0,2.0,1,2,0,1,1,1,0,0,3.0,1,3.0,1,4918,26122,3,59,7
CLIX1468,8,6,0,2.0,1,2,0,0,1,1,0,0,2.0,1,0.0,0,2727,10416,2,67,7
CLIX1469,8,6,0,2.0,1,2,0,1,1,1,0,0,2.0,1,0.0,1,2727,12775,2,51,7
CLIX1470,8,6,0,2.0,1,2,3,1,1,1,0,0,0.0,1,0.0,0,2727,20405,3,40,14
CLIX1471,8,6,0,2.0,1,3,0,1,1,1,0,0,3.0,1,0.0,0,1829,3491,3,43,7
CLIX1472,8,6,0,2.0,1,2,0,1,1,1,0,0,3.0,1,0.0,0,2727,11886,3,40,7
CLIX1473,8,6,0,2.0,1,2,0,1,1,1,0,0,2.0,1,0.0,0,2727,17642,2,42,14
CLIX1474,8,6,0,2.0,1,2,0,1,1,1,0,0,2.0,1,0.0,0,2727,7569,2,44,14
CLIX1475,8,6,0,2.0,1,3,0,1,1,1,0,0,1.0,1,0.0,0,1829,12136,2,49,1
CLIX1476,8,6,0,2.0,1,0,0,1,1,0,0,0,3.0,1,0.0,0,1829,14231,2,37,14
CLIX1477,8,6,0,2.0,1,2,0,0,1,1,0,0,3.0,1,0.0,0,4567,12318,1,48,9
CLIX1478,8,6,0,2.0,1,3,1,0,1,0,0,0,2.0,1,0.0,0,1829,14127,2,45,7
CLIX1479,8,6,1,1.0,1,0,0,1,1,1,0,0,2.0,1,1.0,0,0,24245,4,47,18
CLIX1480,8,6,1,1.0,1,0,0,1,1,0,1,0,2.0,0,3.0,1,780,13221,2,46,14
CLIX1481,8,6,1,1.0,1,0,0,1,1,0,1,0,3.0,0,2.0,0,0,26030,4,38,14
CLIX1482,8,6,1,1.0,1,0,0,1,1,0,0,0,2.0,0,3.0,1,0,13008,4,46,14
CLIX1483,8,6,1,1.0,1,3,0,1,1,0,1,0,3.0,0,2.0,0,0,12288,4,41,9
CLIX1484,8,6,1,1.0,1,3,0,1,1,0,1,0,3.0,0,2.0,0,1141,13494,3,60,2
CLIX1485,8,6,1,1.0,1,3,0,1,1,1,0,0,1.0,1,2.0,0,2662,17041,2,47,7
CLIX1486,8,6,1,1.0,1,1,3,1,1,0,0,0,1.0,1,1.0,0,1711,33323,0,41,0
CLIX1487,8,6,1,1.0,1,3,0,1,1,0,0,0,3.0,1,3.0,1,1141,19677,3,41,9
CLIX1488,8,6,1,1.0,1,2,0,0,1,0,0,0,3.0,1,3.0,1,2226,7982,4,48,9
CLIX1489,8,6,1,1.0,1,3,0,1,1,0,1,0,0.0,1,3.0,1,2539,7311,2,45,7
CLIX1490,8,6,1,1.0,1,3,0,1,1,0,0,0,2.0,1,2.0,0,2539,5344,2,45,6
CLIX1491,8,6,1,1.0,1,3,0,1,1,1,0,0,1.0,1,2.0,0,1141,20553,3,46,0
CLIX1492,8,6,1,1.0,1,0,0,1,1,0,0,0,3.0,1,2.0,0,1141,10949,2,55,14
CLIX1493,8,6,1,1.0,1,3,0,1,1,0,0,0,3.0,1,2.0,1,1141,21263,2,46,7
CLIX1494,8,6,1,1.0,1,2,0,1,1,1,0,0,3.0,1,3.0,1,2988,18060,4,55,3
CLIX1495,8,6,1,1.0,1,2,0,0,1,0,0,0,1.0,1,2.0,0,2988,11977,2,34,5
CLIX1496,8,6,1,1.0,1,2,0,1,1,1,0,0,3.0,1,3.0,1,2988,24682,2,44,7
CLIX1497,8,6,1,1.0,1,3,0,1,1,1,1,0,3.0,1,3.0,1,3682,17186,2,67,7
CLIX1498,8,6,1,1.0,1,2,0,1,1,1,0,0,2.0,1,1.0,0,2988,18391,2,61,7
CLIX1499,8,6,1,1.0,1,3,3,1,1,1,0,0,2.0,1,3.0,1,2823,19386,2,51,9
CLIX1500,8,6,1,1.0,1,0,0,0,1,0,0,0,3.0,1,1.0,1,1903,16256,4,44,7
