CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad_Cliente,Tiempo,Comunidad
CLI59,0,0,0,0.0,1,2,3,1,1,1,0,0,2.0,0,1.0,0,217,3233,0,0,1,30,0,9
CLI60,0,0,0,0.0,1,0,0,0,1,1,0,0,2.0,0,2.0,0,212,2594,0,0,1,23,0,9
CLI61,0,0,0,0.0,1,0,0,1,1,0,0,0,2.0,0,0.0,0,198,1590,0,0,0,29,0,4
CLI62,0,0,0,0.0,1,0,0,0,1,0,0,0,3.0,0,0.0,0,241,2594,0,1,1,31,4,15
CLI63,0,0,0,0.0,1,0,0,0,1,0,0,0,2.0,0,0.0,0,235,2594,0,0,2,26,0,13
CLI64,0,0,0,0.0,1,0,3,1,1,0,0,0,3.0,0,0.0,0,229,2594,0,1,2,30,4,7
CLI65,0,0,0,0.0,1,0,3,1,1,1,0,0,3.0,0,0.0,0,23,4720,0,1,2,29,6,15
CLI66,0,0,0,0.0,1,2,0,1,1,1,0,0,2.0,0,0.0,0,217,3233,0,0,2,32,0,9
CLI67,0,0,0,0.0,1,0,3,0,1,0,0,0,3.0,0,0.0,0,209,3036,0,0,2,31,0,3
CLI68,0,0,0,0.0,1,2,3,0,1,1,0,0,2.0,1,2.0,0,233,5677,4186,1,2,58,8,15
CLI69,0,0,0,0.0,1,0,0,0,2,0,0,0,3.0,1,0.0,0,245,2594,6207,0,2,60,0,19
CLI70,0,0,0,0.0,1,2,0,0,1,1,0,0,3.0,0,3.0,1,237,3233,0,1,1,26,5,12
CLI71,0,0,0,0.0,1,3,0,0,1,1,0,0,2.0,0,3.0,1,235,4720,0,1,1,22,6,17
CLI72,0,0,0,0.0,1,3,0,0,1,1,0,0,1.0,1,2.0,0,245,4720,6124,1,2,37,8,7
CLI73,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,1.0,0,212,2777,0,1,0,22,4,15
CLI74,0,0,0,0.0,1,2,0,0,1,1,0,0,1.0,1,0.0,0,243,3850,6580,1,1,18,7,7
CLI75,0,0,0,0.0,1,3,0,0,1,0,0,0,2.0,1,2.0,1,247,1376,9646,0,1,50,0,19
CLI76,0,0,0,0.0,1,3,0,0,2,1,0,0,2.0,1,3.0,1,229,1376,4923,0,1,29,0,19
CLI77,0,0,0,0.0,1,3,2,0,1,0,0,0,1.0,1,3.0,1,246,2594,9150,0,2,46,0,18
CLI78,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,1,0.0,0,221,1376,9780,1,2,50,5,7
CLI79,0,0,0,0.0,1,2,0,0,1,1,0,0,1.0,0,0.0,0,239,3850,0,1,2,18,5,7
CLI80,0,0,0,0.0,1,3,0,1,1,1,0,0,2.0,0,2.0,0,177,3213,0,1,1,20,5,13
CLI81,0,0,0,0.0,1,1,1,1,1,1,0,0,1.0,1,1.0,0,235,2594,10219,0,2,45,0,7
CLI82,0,0,0,0.0,1,2,0,0,1,1,0,0,1.0,1,3.0,1,244,2015,5569,0,2,49,0,9
CLI83,0,0,0,0.0,1,3,0,0,1,0,0,0,2.0,1,3.0,1,242,1376,20876,0,1,19,0,1
CLI84,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,1,3.0,1,245,2015,25550,0,2,45,0,15
CLI85,0,0,0,0.0,1,0,0,0,1,0,0,0,1.0,1,0.0,0,245,1376,18674,0,2,58,0,16
CLI86,0,0,0,0.0,1,0,0,0,1,0,0,0,1.0,0,3.0,1,239,1376,0,0,2,25,0,2
CLI87,0,0,0,0.0,1,2,0,0,1,1,0,0,3.0,1,1.0,0,245,2015,10132,0,2,42,0,9
CLI88,0,0,0,0.0,1,0,3,0,1,1,0,0,2.0,1,0.0,0,239,2892,14797,1,2,54,7,14
CLI89,0,0,0,0.0,1,0,3,0,1,0,0,0,1.0,0,2.0,0,202,1376,0,1,0,26,3,19
CLI90,0,0,0,0.0,1,2,0,1,1,0,0,1,3.0,0,0.0,0,154,2611,0,0,1,26,0,3
CLI91,0,0,0,0.0,1,0,0,1,1,1,0,0,3.0,1,3.0,1,248,2208,6428,1,2,46,5,15
CLI92,0,0,0,0.0,1,3,0,1,1,1,0,0,2.0,1,0.0,0,239,2892,30078,1,2,60,5,12
CLI93,0,0,0,0.0,1,0,3,1,1,0,0,0,3.0,1,2.0,0,233,1376,17082,0,2,47,0,15
CLI94,0,0,0,0.0,1,2,0,1,1,0,0,1,3.0,0,0.0,0,176,2169,0,1,1,25,4,15
CLI95,0,0,0,0.0,1,2,3,1,1,1,0,1,2.0,1,1.0,0,239,1376,17003,0,1,46,0,15
