CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;COSTE_VENTA;km_anno;Revisiones;Edad Cliente
CLIX9756;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Barcelona;NO;SI;NO;Medio;SI;No;NO;3148;7978;2;55
CLIX9757;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Barcelona;SI;NO;NO;Alto;SI;No;NO;5550;2104;2;47
CLIX9758;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;SI;Averia leve;NO;3787;2682;2;49
CLIX9759;H;TIPO7;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Murcia;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;1684;0;1;42
CLIX9760;H;TIPO7;FUEL 1;Media;M;Otros;CASADO;M;Empresa;Cantabria;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;1317;0;2;62
CLIX9761;H;TIPO7;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Badajoz;NO;NO;NO;Medio;NO DATA;No;NO;2804;0;1;28
CLIX9762;H;TIPO7;FUEL 1;Media;M;Financiera Marca;SOLTERO;M;Empresa;Madrid;SI;NO;SI;Medio-Bajo;SI;No;NO;1976;33318;2;59
CLIX9763;H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;M;Empresa;Tarragona;SI;NO;NO;Medio;NO DATA;No;NO;2033;0;1;52
CLIX9764;H;TIPO7;FUEL 1;Media;M;Financiera Marca;SOLTERO;M;Empresa;Alicante;NO;NO;SI;Alto;NO DATA;No;NO;1897;0;1;51
CLIX9765;H;TIPO7;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Murcia;NO;NO;NO;Medio;NO DATA;No;NO;1317;0;1;52
CLIX9766;H;TIPO7;FUEL 1;Media;M;Contado;CASADO;F;Empresa;Valencia;NO;NO;NO;Alto;NO DATA;No;NO;1684;0;0;47
CLIX9767;H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;F;Empresa;Orense;NO;NO;SI;NA;NO DATA;No;NO;1897;0;1;35
CLIX9768;H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;F;Empresa;Madrid;SI;NO;SI;NA;NO DATA;No;NO;1317;0;1;68
CLIX9769;H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;F;Empresa;Pontevedra;NO;NO;SI;NA;NO DATA;No;NO;1897;0;1;38
CLIX9770;H;TIPO7;FUEL 1;Media;M;Financiera Marca;OTROS;M;Empresa;Barcelona;NO;NO;SI;NA;NO DATA;No;NO;2263;0;0;63
CLIX9771;H;TIPO7;FUEL 1;Media;M;Financiera Marca;EN PAREJA;M;Empresa;Barcelona;NO;NO;SI;NA;NO DATA;Averia grave;NO;1897;0;1;65
CLIX9772;H;TIPO7;FUEL 1;Media;M;Otros;CASADO;M;Empresa;Guipuzcua;NO;NO;NO;NA;NO DATA;No;NO;1317;0;0;36
CLIX9773;H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;M;Empresa;Barcelona;NO;NO;SI;NA;NO DATA;Averia grave;NO;2263;0;1;26
CLIX9774;H;TIPO7;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Jaen;NO;NO;NO;NA;NO DATA;No;NO;1317;0;0;56
CLIX9775;H;TIPO7;FUEL 1;Media;M;Otros;CASADO;F;Empresa;Toledo;NO;NO;NO;NA;NO DATA;No;NO;1317;0;0;44
CLIX9776;H;TIPO7;FUEL 1;Media;A;Financiera Marca;CASADO;M;Empresa;Valencia;SI;NO;NO;Medio;NO DATA;No;NO;2033;0;2;54
